"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccionar un producto de la categoría cumpleaños, agregarlo y","Agregar un Producto de la categoria cumpleaños al carrito y eliminarlo","ERROR","2023-10-05T16:36:53.7782468-05:00[America/Bogota]","0.0","4.47"
"Seleccionar un producto de la categoría cumpleaños, agregarlo y","Agregar un Producto de la categoria cumpleaños al carrito y eliminarlo","ERROR","2023-10-05T16:40:41.4194062-05:00[America/Bogota]","0.0","1.91"
